variable_name,variable_type,units_of_measurement,description
site_name,Factor,NA,The name of the coastal site
class,Factor,NA,"The class of the coastal site, with levels Bay, coastal, Harbor, and Park"
county,Factor,NA,"The county the coastal site is located in with levels Hawaii, Honolulu, Kauai, Maui"
map_name,Factor,NA,The name of the map the coastal site is located on
lon,Numeric,Decimal degrees,The longitude of the coastal site
lat,Numeric,Decimal degrees,The latitude of the coastal site
island,,,
park,,,
harbor,,,
sand_type,,,
sandy,,,
rocky,,,
surfing,,,
snorkeling,,,
parking,,,
showers,,,
lifeguard,,,
restrooms,,,
parking_fee_resident,,,
parking_fee_nonresident,,,
access_fee_resident,,,
access_fee_nonresident,,,
mantas,,,
dolphins,,,
whales,,,
turtles,,,
seals,,,
mpa,,,
beach_length,,,
pcnt_coral,,,
fish_bio_mass,,,
macroalgae,,,
turf_mean,,,
